x,y
0.0,0.99093631274
5.26315789474,0.539213066388
10.5263157895,0.800593876887
15.7894736842,0.7445924015
21.0526315789,0.205763648049
26.3157894737,0.758539968642
31.5789473684,0.367261080414
36.8421052632,0.482983725177
42.1052631579,0.578095024184
47.3684210526,0.199655050283
52.6315789474,0.247071083039
57.8947368421,0.54371191617
63.1578947368,0.222047785239
68.4210526316,0.136852169089
73.6842105263,0.376213826408
78.9473684211,0.951006522651
84.2105263158,0.849629218456
89.4736842105,0.464826726217
94.7368421053,0.430443038591
100.0,0.128000218053
